symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-04-28 08:00:00+00:00,287.99,287.99,283.83,285.89,50856.0,1384.0,285.97217
TSLA,2025-04-28 08:01:00+00:00,286.07,286.48,285.92,286.47,23065.0,818.0,286.211549
TSLA,2025-04-28 08:02:00+00:00,286.43,286.95,286.27,286.94,30333.0,1195.0,286.588332
TSLA,2025-04-28 08:03:00+00:00,287.0,287.0,286.47,286.49,31005.0,1060.0,286.811169
TSLA,2025-04-28 08:04:00+00:00,286.54,286.54,286.12,286.12,16645.0,607.0,286.38707
TSLA,2025-04-28 08:05:00+00:00,286.05,286.12,285.33,285.33,27417.0,768.0,285.85433
TSLA,2025-04-28 08:06:00+00:00,285.4,285.41,285.0,285.2,33304.0,962.0,285.240606
TSLA,2025-04-28 08:07:00+00:00,285.17,285.2,284.5,284.71,36173.0,1162.0,284.855529
TSLA,2025-04-28 08:08:00+00:00,284.63,284.73,284.2,284.66,28068.0,763.0,284.523653
TSLA,2025-04-28 08:09:00+00:00,284.8,285.3,284.8,285.3,12304.0,488.0,285.030458
TSLA,2025-04-28 08:10:00+00:00,285.4,285.5,285.17,285.3,13618.0,443.0,285.356213
TSLA,2025-04-28 08:11:00+00:00,285.5,285.7,285.27,285.56,9924.0,329.0,285.452351
TSLA,2025-04-28 08:12:00+00:00,285.66,285.89,285.5,285.89,14339.0,420.0,285.707298
TSLA,2025-04-28 08:13:00+00:00,285.88,286.4,285.88,286.4,11857.0,387.0,286.150487
TSLA,2025-04-28 08:14:00+00:00,286.49,286.75,286.29,286.74,14282.0,455.0,286.578538
TSLA,2025-04-28 08:15:00+00:00,286.64,287.0,286.64,286.85,19824.0,485.0,286.887239
TSLA,2025-04-28 08:16:00+00:00,286.86,286.94,286.83,286.83,8997.0,221.0,286.865669
TSLA,2025-04-28 08:17:00+00:00,286.9,287.52,286.9,287.52,59090.0,783.0,287.104168
TSLA,2025-04-28 08:18:00+00:00,287.65,287.65,287.38,287.6,17690.0,503.0,287.518094
TSLA,2025-04-28 08:19:00+00:00,287.61,287.8,287.38,287.38,19945.0,508.0,287.576386
TSLA,2025-04-28 08:20:00+00:00,287.37,287.39,287.02,287.12,11488.0,310.0,287.194607
TSLA,2025-04-28 08:21:00+00:00,287.15,287.3,286.8,286.8,15249.0,399.0,287.039638
TSLA,2025-04-28 08:22:00+00:00,286.8,287.13,286.8,286.91,8453.0,259.0,286.871961
TSLA,2025-04-28 08:23:00+00:00,287.07,287.15,286.88,286.9,6684.0,188.0,287.007814
TSLA,2025-04-28 08:24:00+00:00,286.85,287.09,286.8,287.05,8465.0,304.0,286.979851
TSLA,2025-04-28 08:25:00+00:00,287.05,287.19,286.89,287.0,9984.0,281.0,287.046738
TSLA,2025-04-28 08:26:00+00:00,286.91,286.91,286.58,286.86,15885.0,358.0,286.748392
TSLA,2025-04-28 08:27:00+00:00,287.0,287.33,286.9,287.33,6781.0,232.0,287.161341
TSLA,2025-04-28 08:28:00+00:00,287.33,287.8,287.31,287.7,14503.0,420.0,287.626274
TSLA,2025-04-28 08:29:00+00:00,287.67,287.67,287.42,287.52,8701.0,229.0,287.477024
TSLA,2025-04-28 08:30:00+00:00,287.67,288.4,287.67,288.39,26414.0,828.0,288.055003
TSLA,2025-04-28 08:31:00+00:00,288.35,288.35,287.85,287.85,25698.0,388.0,288.093698
TSLA,2025-04-28 08:32:00+00:00,287.79,288.0,287.61,287.99,8668.0,248.0,287.834373
TSLA,2025-04-28 08:33:00+00:00,288.0,288.69,288.0,288.69,14930.0,509.0,288.44602
TSLA,2025-04-28 08:34:00+00:00,288.7,289.54,288.65,289.54,36619.0,947.0,289.051108
TSLA,2025-04-28 08:35:00+00:00,289.44,289.97,289.29,289.9,36221.0,914.0,289.812408
TSLA,2025-04-28 08:36:00+00:00,289.83,290.5,289.78,290.15,47735.0,1742.0,290.074146
TSLA,2025-04-28 08:37:00+00:00,290.19,290.24,289.72,289.72,30427.0,842.0,289.98499
TSLA,2025-04-28 08:38:00+00:00,289.8,290.15,289.55,290.15,20400.0,632.0,289.763553
TSLA,2025-04-28 08:39:00+00:00,290.2,290.74,290.0,290.74,26318.0,749.0,290.294796
TSLA,2025-04-28 08:40:00+00:00,290.74,290.87,290.33,290.84,33723.0,866.0,290.546427
TSLA,2025-04-28 08:41:00+00:00,290.87,291.3,290.85,291.29,33379.0,955.0,291.105761
TSLA,2025-04-28 08:42:00+00:00,291.4,292.18,291.4,292.18,52536.0,1444.0,291.783363
TSLA,2025-04-28 08:43:00+00:00,292.18,292.6,292.13,292.34,41419.0,1250.0,292.371167
TSLA,2025-04-28 08:44:00+00:00,292.3,292.3,291.6,291.6,49313.0,1110.0,291.874237
TSLA,2025-04-28 08:45:00+00:00,291.5,291.78,291.24,291.78,22291.0,627.0,291.412157
TSLA,2025-04-28 08:46:00+00:00,291.8,291.8,291.44,291.5,19744.0,639.0,291.647447
TSLA,2025-04-28 08:47:00+00:00,291.4,291.44,291.11,291.27,17446.0,566.0,291.249456
TSLA,2025-04-28 08:48:00+00:00,291.25,291.6,291.25,291.38,13446.0,444.0,291.470468
TSLA,2025-04-28 08:49:00+00:00,291.25,291.25,290.56,290.56,21639.0,654.0,290.793436
TSLA,2025-04-28 08:50:00+00:00,290.51,290.79,290.36,290.73,21639.0,498.0,290.587559
TSLA,2025-04-28 08:51:00+00:00,290.65,291.0,290.37,290.87,15985.0,473.0,290.708547
TSLA,2025-04-28 08:52:00+00:00,290.84,290.94,290.31,290.58,11067.0,345.0,290.607233
TSLA,2025-04-28 08:53:00+00:00,290.64,290.8,290.6,290.8,5563.0,223.0,290.711507
TSLA,2025-04-28 08:54:00+00:00,290.76,290.99,290.7,290.9,12359.0,349.0,290.858312
TSLA,2025-04-28 08:55:00+00:00,290.95,291.1,290.84,290.97,13189.0,435.0,290.940901
TSLA,2025-04-28 08:56:00+00:00,291.0,291.6,291.0,291.52,22705.0,506.0,291.330512
TSLA,2025-04-28 08:57:00+00:00,291.6,292.09,291.59,292.09,28564.0,852.0,291.831325
TSLA,2025-04-28 08:58:00+00:00,292.04,292.09,291.69,291.69,30931.0,733.0,291.852332
TSLA,2025-04-28 08:59:00+00:00,291.72,291.72,291.49,291.61,13578.0,406.0,291.595704
TSLA,2025-04-28 09:00:00+00:00,291.63,291.78,291.63,291.7,9550.0,286.0,291.674502
TSLA,2025-04-28 09:01:00+00:00,291.8,291.87,291.4,291.4,21266.0,577.0,291.64948
TSLA,2025-04-28 09:02:00+00:00,291.33,291.66,291.3,291.5,15223.0,489.0,291.517357
TSLA,2025-04-28 09:03:00+00:00,291.5,291.8,291.12,291.12,15102.0,483.0,291.43163
TSLA,2025-04-28 09:04:00+00:00,291.18,291.35,290.71,290.71,20268.0,572.0,291.085175
TSLA,2025-04-28 09:05:00+00:00,290.81,291.36,290.81,291.11,7927.0,271.0,291.051021
TSLA,2025-04-28 09:06:00+00:00,291.05,291.24,291.04,291.22,6622.0,267.0,291.183653
TSLA,2025-04-28 09:07:00+00:00,291.44,291.44,291.05,291.2,8417.0,347.0,291.296361
TSLA,2025-04-28 09:08:00+00:00,291.09,291.15,290.65,290.65,11285.0,438.0,290.935411
TSLA,2025-04-28 09:09:00+00:00,290.63,290.76,290.51,290.6,12340.0,409.0,290.634945
TSLA,2025-04-28 09:10:00+00:00,290.61,290.77,290.45,290.69,12464.0,338.0,290.552391
TSLA,2025-04-28 09:11:00+00:00,290.69,290.69,290.28,290.52,12304.0,428.0,290.436467
TSLA,2025-04-28 09:12:00+00:00,290.52,290.68,290.52,290.64,5654.0,245.0,290.60793
TSLA,2025-04-28 09:13:00+00:00,290.69,291.08,290.53,290.53,11346.0,392.0,290.771767
TSLA,2025-04-28 09:14:00+00:00,290.83,290.86,290.81,290.85,3563.0,147.0,290.83623
TSLA,2025-04-28 09:15:00+00:00,290.94,291.22,290.93,291.21,9606.0,300.0,291.086296
TSLA,2025-04-28 09:16:00+00:00,291.24,291.3,290.66,290.69,12983.0,451.0,291.023733
TSLA,2025-04-28 09:17:00+00:00,290.65,290.8,290.65,290.66,6320.0,211.0,290.731432
TSLA,2025-04-28 09:18:00+00:00,290.54,290.6,290.46,290.51,6666.0,252.0,290.51681
TSLA,2025-04-28 09:19:00+00:00,290.65,290.69,290.33,290.33,7766.0,285.0,290.554377
TSLA,2025-04-28 09:20:00+00:00,290.35,290.42,290.22,290.36,12669.0,315.0,290.291115
TSLA,2025-04-28 09:21:00+00:00,290.4,290.51,290.4,290.51,6768.0,211.0,290.481261
TSLA,2025-04-28 09:22:00+00:00,290.51,290.91,290.51,290.88,11492.0,260.0,290.772591
TSLA,2025-04-28 09:23:00+00:00,290.88,291.15,290.88,291.09,12736.0,252.0,291.011939
TSLA,2025-04-28 09:24:00+00:00,291.03,291.2,290.96,291.01,7290.0,261.0,291.067002
TSLA,2025-04-28 09:25:00+00:00,290.9,291.09,290.8,290.8,6873.0,245.0,290.922207
TSLA,2025-04-28 09:26:00+00:00,290.65,290.7,290.5,290.5,4797.0,222.0,290.58498
TSLA,2025-04-28 09:27:00+00:00,290.47,291.06,290.46,290.8,11595.0,349.0,290.94762
TSLA,2025-04-28 09:28:00+00:00,290.88,291.16,290.88,291.13,6661.0,218.0,291.036332
TSLA,2025-04-28 09:29:00+00:00,291.13,291.14,291.04,291.07,6134.0,185.0,291.091657
TSLA,2025-04-28 09:30:00+00:00,291.1,291.2,291.04,291.11,8229.0,261.0,291.126641
TSLA,2025-04-28 09:31:00+00:00,291.0,291.25,291.0,291.15,6535.0,221.0,291.165501
TSLA,2025-04-28 09:32:00+00:00,291.11,291.13,290.6,290.6,7926.0,347.0,290.926332
TSLA,2025-04-28 09:33:00+00:00,290.59,290.66,290.57,290.57,5117.0,191.0,290.606949
TSLA,2025-04-28 09:34:00+00:00,290.84,290.86,290.7,290.79,6505.0,219.0,290.780526
TSLA,2025-04-28 09:35:00+00:00,290.81,290.94,290.81,290.94,3699.0,158.0,290.851117
TSLA,2025-04-28 09:36:00+00:00,290.98,291.08,290.95,291.0,4185.0,155.0,291.003276
TSLA,2025-04-28 09:37:00+00:00,291.03,291.17,291.0,291.15,4003.0,144.0,291.065667
TSLA,2025-04-28 09:38:00+00:00,291.19,291.19,290.9,290.92,8400.0,232.0,291.022141
TSLA,2025-04-28 09:39:00+00:00,291.0,291.0,290.92,290.97,4239.0,152.0,290.983166
TSLA,2025-04-28 09:40:00+00:00,291.05,291.05,290.84,291.0,5563.0,197.0,290.913795
